3.000000000000000000e+01 2.511258866925527400e+01
4.500000000000000000e+01 2.513077759982160941e+01
6.000000000000000000e+01 2.515189902917873965e+01
9.000000000000000000e+01 2.520489705722582841e+01
1.200000000000000000e+02 2.527631799245769884e+01
1.800000000000000000e+02 2.550196381932136447e+01
2.500000000000000000e+02 2.600401883707485950e+01
3.500000000000000000e+02 2.766783919544771209e+01
5.000000000000000000e+02 3.563882986753658599e+01
7.000000000000000000e+02 6.623754979843585033e+01
1.000000000000000000e+03 9.706257079024267398e+01
1.400000000000000000e+03 9.994404783746225007e+01
2.000000000000000000e+03 9.999986120516703636e+01
